objectid_1,objectid,po_legalst,po_legal_1,po_hgu,po_area_hg,subgroup,groupid,source,zsl,group_comp,shape_leng,type,area_ha,country,company,name,gfwid,globalid,shape_Length,shape_Area
1,1,HGU,HGU,135/HGU/BPN/1997,16850, ,68,varies,0,Sinar Mas,71126.8948152,HGU,16894,IDN,PT. Swakarsa Sinar Sentosa,PT. Swakarsa Sinar Sentosa,ba8ba796-ea60-4ba0-8f08-15bc86453f5f,{0CAACBF0-0077-4B70-9275-70F6B39656B9},71126.8948509041,170150530.633881
2,2,HGU,HGU,60/HGU/BPN/1997,91.92, ,99,varies,0,No group,4003.12116432,HGU,94,IDN,PT. Setiau Farm,PT. Setiau Farm,66b0cb59-3742-4205-a10c-bd09fdc8cb4a,{6CD8E73A-4888-4AC4-94D1-14FC609993E0},4003.12113736482,944975.970321706
3,3,HGU,HGU,8/HGU/BPN/1998,16404.41, ,99,varies,0,No group,84658.3065462,HGU,20552,IDN,PT. Sena Bangun Aneka Pertiwi,PT. Sena Bangun Aneka Pertiwi,1a78c15d-be5c-463b-90a6-e8aa87aecb78,{F480D6B4-F987-4567-9FE9-A02CDDF25F6C},84658.3067565572,207209506.085141
4,4,HGU,HGU,15/HGU/BPN/1998,6925.3, ,99,varies,0,No group,39581.227126,HGU,8134,IDN,PT. Rambay Panji Bersama Jaya,PT. Rambay Panji Bersama Jaya,dac1dba1-d3b9-4f20-9c73-8d61d496cc02,{73B29E65-E6E5-4A98-BF85-2121019B66A3},39581.2271467216,82139251.0762334
5,5,HGU,HGU,92/HGU/BPN/1999,1357.2, ,99,varies,0,No group,27962.1121646,HGU,2094,IDN,PT. Prima Bahagia Permai,PT. Prima Bahagia Permai,02d0aec0-6da4-4870-85e9-99e6da34df0d,{7491BFF9-A225-4866-B9BB-4769E3D18154},27962.1122056045,21126993.642592
6,6,HGU,HGU,12/HGU/BPN1998,782.17, ,99,varies,0,No group,13663.2439408,HGU,777,IDN,PT. Pipit Ersindo Quarry,PT. Pipit Ersindo Quarry,1e419763-a9b4-488f-833d-16192e345db7,{F25453A7-E00A-481B-A29B-B87E8C1BDCBB},13663.2439960431,7857275.03573923
7,7,HGU,HGU,99/HGU/BPN/2004,7485, ,99,varies,0,No group,37881.7149116,HGU,7325,IDN,PT. Mandu Palma Lestari,PT. Mandu Palma Lestari,7e4eee1e-238e-4e96-89b3-5a8702d20e18,{FD710DEF-DFFF-4A01-92C4-22F7050EAC9F},37881.7150407919,73741429.1617676
8,8,HGU,HGU,09/HGU/BPN/2000,6614, ,99,varies,0,No group,52383.7171686,HGU,6631,IDN,PT. Karya Pertama Muda Jaya,PT. Karya Pertama Muda Jaya,9c7a0f63-8957-43d5-9c6e-33a1996b61db,{481AF9BA-3AC0-4C94-9E23-F9727B9DCE60},52383.7173289362,66798533.2236917
9,9,HGU,HGU,43/HGU/BPN/1999,14621.99,Astra Agro Lestari,5,varies,1,Astra International,69981.7160476,HGU,15033,IDN,PT. Karya Nusa Eka Daya,PT. Karya Nusa Eka Daya 1,5ee66405-c9db-4f7c-ab68-1da408720898,{B92E6A9D-8DFD-4B18-8488-700369346730},69981.7162728585,151420222.563784
10,10,HGU,HGU,83/HGU/BPN/2004,6061, ,99,varies,0,No group,47071.5067857,HGU,4440,IDN,PT. Bulungan Hijau Perkasa,PT. Bulungan Hijau Perkasa,203fe632-e111-4fc2-aab4-e639e050cd1d,{85709055-21A8-4029-B4EB-35BA66908FC4},47071.5066224432,44903963.2901281
11,11,HGU,HGU,11/HGU/BPN/1991,1140, ,99,varies,0,No group,25235.5417178,HGU,991,IDN,PT. Buana Wira Subur Sakti,PT. Buana Wira Subur Sakti 1,2e8b6d4a-a8c1-4d10-8c72-4cf28a409acb,{CBBAB6C6-ACD8-4485-816E-B7A851AF66A1},25235.5416649255,9983119.80598269
12,12,HGU,HGU, ,19424.88,Astra Agro Lestari,5,varies,1,Astra International,62448.5594901,HGU,19455,IDN,PT. Borneo Indah Marjaya,PT. Borneo Indah Marjaya,edf5d998-7c94-489f-98e1-d04f09dc6f3e,{8EC6C937-2C8D-487A-809A-2E97F6182504},62448.5592593162,196086978.753888
