Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Indonesia,IDN,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.1337419293713
Indonesia,IDN,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.2473231961967
Indonesia,IDN,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.1407996403765
Indonesia,IDN,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.0342760845563
Indonesia,IDN,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.7147054170956
Indonesia,IDN,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.7972814123319
Indonesia,IDN,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.7853076320399
Indonesia,IDN,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.5189987424894
Indonesia,IDN,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.3432348753861
Indonesia,IDN,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.0609474524625
Indonesia,IDN,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.0449689190895
Indonesia,IDN,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4963726066154
Indonesia,IDN,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.4803940732424
Indonesia,IDN,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.0915830944986
Indonesia,IDN,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9158192273953
Indonesia,IDN,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3672229149212
Indonesia,IDN,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7653648245371
Indonesia,IDN,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6428627353438
Indonesia,IDN,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2300839565405
Indonesia,IDN,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.6042580660968
Indonesia,IDN,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.925170397743
Indonesia,IDN,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.1273089646496
Indonesia,IDN,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.3244423345496
Indonesia,IDN,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.2204275849125
Indonesia,IDN,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.027225003726
Indonesia,IDN,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.7186528812025
Indonesia,IDN,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.7241729549507
Indonesia,IDN,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1683015285084
Indonesia,IDN,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1931418603753
Indonesia,IDN,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.8260569561209
Indonesia,IDN,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.9215542319645
